word,simple_avg,colour,shade
in,-0.0034595727920532227,red,1.0931796154264855
for,0.07206273078918457,blue,23.64101677654709
that,-0.015988171100616455,red,5.052052315618934
is,0.02793928235769272,blue,9.165806453757536
on,0.04851233959197998,blue,15.915037101753523
The,0.004508178681135178,blue,1.4789604371804388
said,-0.039566390216350555,red,12.502460228580425
was,-0.012493506073951721,red,3.94778401443761
the,0.0282401442527771,blue,9.26450769684422
be,-0.0106404609978199,red,3.362246080867643
are,0.058514587581157684,blue,19.19639086014903
I,0.014476239681243896,blue,4.749098756287587
have,0.02015485242009163,blue,6.612033695838362
will,-0.0012205932289361954,red,0.3856914471248144
has,-0.022889815270900726,red,7.232881329308823
had,0.010449066758155823,blue,3.4279378511408978
year,-0.008056145161390305,red,2.5456361807383265
were,0.021893367171287537,blue,7.182373675314486
more,0.005584321916103363,blue,1.8320017387413952
up,0.05806972086429596,blue,19.05044716079877
been,0.009196389466524124,blue,3.016982499563946
one,0.03943672031164169,blue,12.937674666076395
would,-0.004414848983287811,red,1.3950343593875543
out,0.06365428119897842,blue,20.88252711552736
can,0.01724979281425476,blue,5.658995112282961
first,-0.003378717228770256,red,1.067630318190191
do,0.07668304443359375,blue,25.156764392328263
time,0.023391805589199066,blue,7.673953822063321
over,0.07597604393959045,blue,24.924824659310712
last,0.012317711487412453,blue,4.0409684830635015
new,0.00190730020403862,blue,0.6257120099084013
other,0.03543867915868759,blue,11.62607077686465
people,-0.010108545422554016,red,3.1941677373958135
In,-0.05713104456663132,red,18.052660568878302
A,0.022150933742523193,blue,7.266871383977142
could,0.038119614124298096,blue,12.505582666085783
just,0.057348839938640594,blue,18.813953790776928
years,-0.008077871054410934,red,2.5525012779062903
U.S.,0.02997022122144699,blue,9.83207956364865
like,0.08349372446537018,blue,27.391087170935563
if,0.025222398340702057,blue,8.274501060217707
only,0.04461441934108734,blue,14.636279038662945
percent,-0.059737302362918854,red,18.876203840461546
get,0.032188884913921356,blue,10.559937986454555
did,0.027545258402824402,blue,9.036542313675831
game,0.08878551423549652,blue,29.127120337642776
back,0.07839067280292511,blue,25.716971735088705
now,0.06338245421648026,blue,20.79335111313082
company,-0.05467924848198891,red,17.27792517175927
team,0.07429029792547226,blue,24.371796077624673
off,0.05371256172657013,blue,17.621030440880055
most,0.026142559945583344,blue,8.576370774283522
made,0.03722335770726204,blue,12.211555326860699
make,0.02514701336622238,blue,8.249770142767641
second,0.012606307864189148,blue,4.1356458802466305
state,-0.021753031760454178,red,6.8736726537094315
well,0.08133386075496674,blue,26.682518765970727
day,0.0009752698242664337,blue,0.31994860623021626
season,0.056508906185626984,blue,18.538403756401
says,-0.04660375788807869,red,14.726176088141443
week,0.035004861652851105,blue,11.483751899670787
while,0.04430653899908066,blue,14.535275312453313
down,0.04688916355371475,blue,15.382535328206014
being,0.019447728991508484,blue,6.380053632702418
government,-0.033712953329086304,red,10.652850964673284
home,0.020036697387695312,blue,6.5732715635610495
going,0.058106955140829086,blue,19.06266229817342
good,0.10062170028686523,blue,33.010118802262944
're,0.0633028894662857,blue,20.76724897165531
should,-0.017046451568603516,red,5.386455059699036
many,0.020922891795635223,blue,6.863997943701697
way,0.06643477082252502,blue,21.79469906790008
such,0.050936102867126465,blue,16.71018082754079
may,0.03675555810332298,blue,12.058088227242472
very,-0.004753082990646362,red,1.5019118683498491
work,-0.010327283293008804,red,3.263286034791446
take,0.09721188247203827,blue,31.891488418949855
including,0.060419194400310516,blue,19.821219273827133
high,0.02980836294591427,blue,9.778980074281723
then,0.06537598371505737,blue,21.447351645781694
%,-0.056621722877025604,red,17.891721596861153
next,0.06733531504869461,blue,22.090133072769806
much,0.06643150746822357,blue,21.7936284865754
still,0.07076115906238556,blue,23.214021036971914
go,0.08827584236860275,blue,28.959916555274063
think,0.04816378653049469,blue,15.80069021697897
old,0.02154463529586792,blue,7.0679681285495395
even,0.07242467999458313,blue,23.75975842210196
world,0.07412151992321014,blue,24.316426491441998
see,0.016912879422307014,blue,5.548466756445584
say,0.05687432736158371,blue,18.658284422269343
business,0.013694185763597488,blue,4.492536874927161
told,-0.06779839098453522,red,21.423402089777014
under,0.040177952498197556,blue,13.180844503879904
1,0.021223057061433792,blue,6.962470649450807
right,0.025966748595237732,blue,8.5186938164787
play,0.08791591227054596,blue,28.841837301360723
help,0.05820763111114502,blue,19.095690220889768
market,0.02633686363697052,blue,8.640114359594872
know,0.06252186745405197,blue,20.511025618864444
end,0.02668006904423237,blue,8.75270688421922
AP,0.056282445788383484,blue,18.464110789817216
long,0.10939020663499832,blue,35.886729269439215
information,-0.06775117665529251,red,21.40848298115102
points,0.00578516349196434,blue,1.8978901530765084
does,0.028671398758888245,blue,9.405985752175773
part,0.0201103538274765,blue,6.597435415103976
police,0.042218029499053955,blue,13.850115485905087
want,0.010565772652626038,blue,3.4662245768710633
've,0.03031936287879944,blue,9.946619544141583
based,0.03120373748242855,blue,10.236748916317499
got,0.06775519251823425,blue,22.227878758962575
third,0.012365847826004028,blue,4.056760168664955
school,0.03422468155622482,blue,11.227804747084695
left,0.028718523681163788,blue,9.421445630894064
country,0.07195353507995605,blue,23.605193854413454
need,0.03814203292131424,blue,12.51293741313137
best,0.08042943477630615,blue,26.38581130705954
win,0.02050953358411789,blue,6.7283909759086935
quarter,-0.007382353767752647,red,2.332726939959687
use,0.0653601586818695,blue,21.442160059631867
today,0.04868580773472786,blue,15.971945343059229
same,0.018743090331554413,blue,6.148888726807982
public,-0.009702898561954498,red,3.0659886512127583
run,0.08331340551376343,blue,27.331931442122908
Friday,0.02741052582859993,blue,8.992341726039118
set,0.050208646804094315,blue,16.47153040724718
month,-0.027410298585891724,red,8.661294751675593
top,0.024007244035601616,blue,7.875855560687393
Tuesday,0.004451189190149307,blue,1.4602643719921065
come,0.029933016747236252,blue,9.8198742032724
Monday,0.018825381994247437,blue,6.175885463636996
city,-0.023235023021697998,red,7.341962449707748
place,0.03607254475355148,blue,11.834017755811251
night,0.037511855363845825,blue,12.306200337736632
Thursday,0.005287826061248779,blue,1.7347328259201524
Wednesday,0.017736028879880905,blue,5.818510507535719
group,-0.020574800670146942,red,6.501367086633571
found,0.0005102604627609253,blue,0.16739687808708723
used,0.10607236623764038,blue,34.79827314743479
3,0.02242155931890011,blue,7.355653251125724
